File L	File R	Perfect Match #	Perfect Match L	Perfect Match R	(L%+R%)/2	Overall Match	cf. Diss Thomas 2021
parthey_msgermqu1711_1828_34.norm.html	nn_msgermqu2345_1827_34.norm.html	2593	85%	89%	87%	"2593 (85%) L; 2593 (89%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_38.norm.html	nn_msgermqu2345_1827_38.norm.html	2334	85%	87%	86%	"2334 (85%) L; 2334 (87%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_25.norm.html	nn_msgermqu2345_1827_25.norm.html	1796	85%	87%	86%	"1796 (85%) L; 1796 (87%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_36.norm.html	nn_msgermqu2345_1827_36.norm.html	1976	82%	85%	84%	"1976 (82%) L; 1976 (85%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_39.norm.html	nn_msgermqu2345_1827_39.norm.html	2257	82%	84%	83%	"2257 (82%) L; 2257 (84%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_21.norm.html	nn_msgermqu2345_1827_21.norm.html	1780	80%	84%	82%	"1780 (80%) L; 1780 (84%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_49.norm.html	nn_msgermqu2345_1827_49.norm.html	1187	71%	83%	77%	"1187 (71%) L; 1187 (83%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_12.norm.html	nn_msgermqu2345_1827_12.norm.html	572	72%	72%	72%	"572 (72%) L; 572 (72%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_50.norm.html	nn_msgermqu2345_1827_50.norm.html	1415	60%	79%	70%	"1415 (60%) L; 1415 (79%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_17.norm.html	nn_msgermqu2345_1827_17.norm.html	499	63%	68%	66%	"499 (63%) L; 499 (68%) R"	S. 378 (Grafik), S. 379
parthey_msgermqu1711_1828_51.norm.html	nn_msgermqu2345_1827_51.norm.html	810	33%	65%	49%	"810 (33%) L; 810 (65%) R"	S. 378 (Grafik), S. 379
willisen_humboldt_1827_49.norm.html	nn_oktavgfeo79_1828_49.norm.html	649	32%	41%	37%	"649 (32%) L; 649 (41%) R"	S. 384?386
parthey_msgermqu1711_1828_6.norm.html	nn_msgermqu2124_1827_12.norm.html	618	34%	22%	28%	"618 (34%) L; 618 (22%) R"	S. 383f. sowie ebd., Anm. 80
parthey_msgermqu1711_1828_7.norm.html	nn_msgermqu2124_1827_13.norm.html	658	31%	20%	26%	"658 (31%) L; 658 (20%) R"	S. 383f. sowie ebd., Anm. 80
parthey_msgermqu1711_1828_1.norm.html	nn_msgermqu2124_1827_2.norm.html	390	39%	10%	25%	"390 (39%) L; 390 (10%) R"	S. 383f. sowie ebd., Anm. 80
parthey_msgermqu1711_1828_2.norm.html	nn_msgermqu2124_1827_2.norm.html	448	36%	12%	24%	"448 (36%) L; 448 (12%) R"	S. 383f. sowie ebd., Anm. 80
parthey_msgermqu1711_1828_22.norm.html	nn_msgermqu2124_1827_15.norm.html	441	19%	17%	18%	"441 (19%) L; 441 (17%) R"	S. 383f. sowie ebd., Anm. 80 (dort zumindest die folgende, *23.* VL an der Uni und die 15. VL Sing-Ak. erwähnt)
parthey_msgermqu1711_1828_11.norm.html	nn_msgermqu2124_1827_14.norm.html	461	23%	11%	17%	"461 (23%) L; 461 (11%) R"	S. 383f. sowie ebd., Anm. 80
nn_n0171w1_1828_16.norm.html	nn_msgermqu2345_1827_16.norm.html	184	11%	20%	16%	"184 (11%) L; 184 (20%) R"	
nn_n0171w1_1828_17.norm.html	nn_msgermqu2345_1827_17.norm.html	139	10%	19%	15%	"139 (10%) L; 139 (19%) R"	
parthey_msgermqu1711_1828_9.norm.html	nn_msgermqu2124_1827_16.norm.html	290	18%	11%	15%	"290 (18%) L; 290 (11%) R"	S. 383f. sowie ebd., Anm. 80
nn_oktavgfeo79_1828_24.norm.html	nn_n0171w1_1828_24.norm.html	220	17%	11%	14%	"220 (17%) L; 220 (11%) R"	
